date,Connection Loss rate
2022-08-08,0.022359159
2022-08-09,0.019954657
2022-08-10,0.022429305
2022-08-11,0.020309881
2022-08-12,0.020905528
2022-08-13,0.023914177
2022-08-14,0.023291585
2022-08-15,0.028308792
2022-08-16,0.024861925
2022-08-17,0.022309577
2022-08-18,0.02897661
2022-08-19,0.02796501
2022-08-20,0.02289705
2022-08-21,0.029848031
2022-08-22,0.028309767
2022-08-23,0.027359478
2022-08-24,0.023893279
2022-08-25,0.029855114
2022-08-26,0.022106402
2022-08-27,0.024135986
2022-08-28,0.020365301
2022-08-29,0.021321946
2022-08-30,0.02319757
2022-08-31,0.020744587
2022-09-01,0.022345801
2022-09-02,0.026568459
2022-09-03,0.019374499
2022-09-04,0.022233375
2022-09-05,0.023050284
2022-09-06,0.027284221
2022-09-07,0.032981693
2022-09-08,0.032036738
2022-09-09,0.037497788
2022-09-10,0.02431806
2022-09-11,0.022944727
2022-09-12,0.034527406
2022-09-13,0.029658987
2022-09-14,0.027257202
2022-09-15,0.028659829
2022-09-16,0.030982551
2022-09-17,0.023251278
2022-09-18,0.026689715
2022-09-19,0.028881458
2022-09-20,0.025452998
2022-09-21,0.02327901
2022-09-22,0.030255392
2022-09-23,0.026134572
2022-09-24,0.027667829
2022-09-25,0.025947791
2022-09-26,0.022914963
2022-09-27,0.02861198
2022-09-28,0.023646091
2022-09-29,0.026131692
2022-09-30,0.027304246
2022-10-01,0.031133742
2022-10-02,0.030964978
2022-10-03,0.026069455
2022-10-04,0.028674463
2022-10-05,0.027126309
2022-10-06,0.029157448
2022-10-07,0.029871333
2022-10-08,0.032182395
2022-10-09,0.028627711
2022-10-10,0.026467855
2022-10-11,0.025184561
2022-10-12,0.028204291
2022-10-13,0.030609608
2022-10-14,0.045738888
2022-10-15,0.027236477
2022-10-16,0.029702898
2022-10-17,0.029122965
2022-10-18,0.036477306
2022-10-19,0.035193417
2022-10-20,0.037016877
2022-10-21,0.037999309
2022-10-22,0.027360037
2022-10-23,0.031721255
2022-10-24,0.052924435
2022-10-25,0.035036821
2022-10-26,0.030748916
2022-10-27,0.031046381
2022-10-28,0.027774577
2022-10-29,0.026936832
2022-10-30,0.024623782
2022-10-31,0.033962525
2022-11-01,0.0300996
2022-11-02,0.025514685
2022-11-03,0.039803362
2022-11-04,0.033028302
2022-11-05,0.029036642
2022-11-06,0.030050842
2022-11-07,0.029704562
2022-11-08,0.0357907
2022-11-09,0.041883642
2022-11-10,0.032611065
2022-11-11,0.039517039
2022-11-12,0.031428937
2022-11-13,0.044890873
2022-11-14,0.038406424
2022-11-15,0.04868951
2022-11-16,0.042838471
2022-11-17,0.038071694
2022-11-18,0.035171416
2022-11-19,0.02369476
2022-11-20,0.029050397
2022-11-21,0.027800291
2022-11-22,0.035739247
2022-11-23,0.044496693
2022-11-24,0.037161269
2022-11-25,0.037371101
2022-11-26,0.03532185
2022-11-27,0.034296241
2022-11-28,0.031789839
2022-11-29,0.032294374
2022-11-30,0.033400458
2022-12-01,0.030048073
2022-12-02,0.029715241
